name,original_Pincode,lat,lon,county,state,state_code,country
Dhandhuka,382460,22.3849802,71.9765847,Dhandhuka Taluka,Gujarat,GJ,India
Gunjar,382460,22.366019,71.91816,Ahmadabad,Gujarat,GJ,India
Jaliya,382460,21.550158,71.060589,Amreli,Gujarat,GJ,India
Khadol,382460,22.4077836,72.0434918,Dhandhuka Taluka,Gujarat,GJ,India
Khandachora Dhandhuka,382460,,,,,,
Khasta,382460,22.39222,72.055238,Ahmadabad,Gujarat,GJ,India
Mota Tradia,382460,20.34977,73.049115,Valsad,Gujarat,GJ,India
Padana,382460,22.728919,70.557002,Jamnagar,Gujarat,GJ,India
Rayka,382460,22.415288,72.024626,Ahmadabad,Gujarat,GJ,India
Rojka,382460,22.3474321,72.0366509,Dhandhuka Taluka,Gujarat,GJ,India
Vasna,382460,22.781948,72.462896,Ahmadabad,Gujarat,GJ,India
Dhanala,382465,22.4505394,72.208395,Dholera Taluka,Gujarat,GJ,India
Zanzarka,382460,22.444276,71.955157,Ahmadabad,Gujarat,GJ,India
Fedra,382465,22.4535565,72.1599905,Dhandhuka Taluka,Gujarat,GJ,India
Gamph,382465,22.358025,72.16588,Ahmadabad,Gujarat,GJ,India
Kamiala,382465,,,,,,
Kasindra,382465,22.3281608,72.1681787,Dholera Taluka,Gujarat,GJ,India
Loliya,382465,22.508593,72.168613,Ahmadabad,Gujarat,GJ,India
Bavaliary,382455,,,,,,
Panchham,382465,,,,,,
Bhangadh,382455,22.1234135,72.211734,Dholera Taluka,Gujarat,GJ,India
Dholera,382455,22.249191,72.195275,Ahmadabad,Gujarat,GJ,India
Shela,382465,23.008477,72.444719,Ahmadabad,Gujarat,GJ,India
Hebatpur,382455,22.1413254,72.1005135,Barwala Taluka,Gujarat,GJ,India
Khun,382455,22.2449925,72.2282455,Dholera Taluka,Gujarat,GJ,India
Mingalpur,382455,22.0998684,72.2055728,Dholera Taluka,Gujarat,GJ,India
Sandhida,382455,22.187447,72.155117,Ahmadabad,Gujarat,GJ,India
