"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Madhya Pradesh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDA,OBC,0,2.12,0.76,3.99,4.79,4.41,14.16,21.2,17.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDA,SC,0,0,0,2.74,1.66,2.2,24.06,31.16,27.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDA,ST,2.08,1.99,2.04,13.58,8.37,10.85,34.14,41.19,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDA,Overall,0.47,1.43,0.97,6.91,5.15,5.99,20.81,28.68,25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSHANGABAD,General,3.84,3.52,3.67,11.59,8.26,9.84,16.33,19.42,17.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSHANGABAD,OBC,0,0,0,4.62,2.46,3.49,16.67,19.09,17.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSHANGABAD,SC,1.82,1.64,1.73,1.25,1.31,1.29,13.27,22.04,18.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSHANGABAD,ST,6.1,5.31,5.7,11.73,8.23,9.95,28.86,36.92,33.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSHANGABAD,Overall,1.1,0,0.48,6.49,4.26,5.33,18.3,22.95,20.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDORE,General,16.82,13.52,15.12,12.21,4.83,8.46,19.15,13.05,16.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDORE,OBC,4.63,4.45,4.54,10.96,10.59,10.78,7.7,14.38,11.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDORE,SC,0,0,0,0,0,0,0.24,2.75,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDORE,ST,0,0,0,0,0,0,1.23,10.14,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDORE,Overall,5.5,4.31,4.89,5.94,3.38,4.63,10.04,11.77,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JABALPUR,General,4.44,4.99,4.73,10.08,5.72,7.83,15.62,13.08,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
