"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:20 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Assam,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHIMPUR,Overall,0.62,2.64,1.64,2.93,5.59,4.24,18.88,17.09,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,General,0,0,0,0.39,0.32,0.35,24.69,24.32,24.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,OBC,5.47,2.17,3.8,0,0,0,27.75,30.96,29.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,SC,7.09,3.25,5.2,6.41,5.54,5.97,24.78,22.3,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,ST,4.83,5.34,5.1,1.33,3,2.19,7.76,10.47,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,Overall,3.89,3.13,3.5,0.38,2.57,1.52,16.5,17.96,17.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,General,1.93,4.9,3.39,6.22,10.91,8.25,39.59,32.03,36.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,OBC,0.1,0,0,0,3.08,1.41,19.82,24.21,21.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,SC,3.74,3.86,3.8,5.68,6.39,6.04,36.55,36.74,36.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,ST,0,1.84,0.81,4.24,2.05,3.15,36.66,31.36,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,Overall,1.7,3.75,2.72,5.25,7.84,6.44,36.41,31.57,34.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,General,0,3.37,1.17,5.74,12.57,8.72,36.86,30.39,34.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,OBC,0,0,0,4.4,5.16,4.78,28.04,21,24.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,SC,0,0.15,0,0,1.05,0.01,33.03,31.6,32.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,ST,1.34,2.99,2.19,0,5.01,2.33,29.92,31.81,30.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,Overall,0,2.56,0.79,4.79,10.09,7.19,34.81,28.9,32.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALBARI,General,5.67,6.82,6.25,2.4,2.52,2.46,25.12,21.96,23.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALBARI,OBC,0,0.29,0,0,4.42,0.47,28.62,35.08,31.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
