"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Maharashtra,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARBHANI,General,0,0,0,0.06,0,0,13.93,10.93,12.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARBHANI,OBC,1.29,0.75,1,2.94,1.38,2.11,15.21,10.98,12.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARBHANI,SC,0.2,0,0,1.81,0,0,14.6,12.69,13.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARBHANI,ST,1.66,1.75,1.71,4.75,1.21,2.91,12.15,5.8,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARBHANI,Overall,0,0,0,1.51,0,0.66,14.44,11.07,12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNE,General,1.84,1.6,1.71,2.32,2.44,2.38,7.13,9.78,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNE,OBC,2.41,3.57,3.03,2.29,2.84,2.59,9.28,10.27,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNE,SC,2.22,2.41,2.32,3.32,2.99,3.15,15.14,19.53,17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNE,ST,0.6,0.59,0.59,4.13,2.89,3.47,17.31,18.97,18.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNE,Overall,1.99,2.18,2.09,2.57,2.65,2.61,9.46,11.89,10.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIGARH (MAHARASHTRA),General,0,0,0,0.18,1.02,0.63,8.48,10.59,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIGARH (MAHARASHTRA),OBC,2.81,2.95,2.88,1.16,0,0.55,9.89,11.88,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIGARH (MAHARASHTRA),SC,6.64,5.71,6.15,6.35,4.46,5.37,10.54,10.78,10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
