DNo,Location,Social Category,Income,dropout,prim_Boys_social_category,prim_Boys_income
12208,MAMIT,OBC,Low,1,2.7156851352209685e-32,100.0
12208,MAMIT,SC,Low,0,78.55978161096573,21.44021987915039
12208,MAMIT,ST,Low,1,0.00018341647773922887,99.99982118606567
12208,MAMIT,Overall,Low,1,0.000855988673720276,99.99914169311523
12209,SAIHA,General,High,0,76.72200351953506,23.277997970581055
12209,SAIHA,OBC,High,0,75.98847150802612,24.0115225315094
12209,SAIHA,SC,High,0,75.51307380199432,24.486929178237915
12209,SAIHA,ST,High,1,0.8483069017529488,99.15169477462769
12209,SAIHA,Overall,High,1,1.7303062602877617,98.26969504356384
12210,SAITUAL,General,High,0,76.72200351953506,23.277997970581055
12210,SAITUAL,OBC,High,0,75.98847150802612,24.0115225315094
12210,SAITUAL,SC,High,0,75.51307380199432,24.486929178237915
12210,SAITUAL,ST,High,1,0.029958519735373557,99.97004270553589
12210,SAITUAL,Overall,High,1,0.024320572265423834,99.97567534446716
12211,SERCHHIP,General,High,0,76.72200351953506,23.277997970581055
12211,SERCHHIP,OBC,High,0,75.98847150802612,24.0115225315094
12211,SERCHHIP,SC,High,0,75.51307380199432,24.486929178237915
12211,SERCHHIP,ST,High,1,0.3938019275665283,99.60619807243347
12211,SERCHHIP,Overall,High,1,0.49544344656169415,99.504554271698
12301,DIMAPUR,General,High,1,0.0028502770874183625,99.99715089797974
12301,DIMAPUR,OBC,High,1,3.185710584219237e-07,100.0
12301,DIMAPUR,SC,High,1,1.8328415174462265e-09,100.0
12301,DIMAPUR,ST,High,0,77.49419510364532,22.505801916122437
12301,DIMAPUR,Overall,High,1,1.2175812385976315,98.78242015838623
12302,KIPHIRE,General,High,1,5.980429094487937e-24,100.0
12302,KIPHIRE,OBC,High,1,1.168974271958855e-23,100.0
12302,KIPHIRE,SC,High,0,75.51307380199432,24.486929178237915
12302,KIPHIRE,ST,High,1,0.456538749858737,99.5434582233429
12302,KIPHIRE,Overall,High,1,0.13744588941335678,99.86255168914795
12303,KOHIMA,General,High,0,76.72200351953506,23.277997970581055
12303,KOHIMA,OBC,High,1,3.745515286812662e-08,100.0
12303,KOHIMA,SC,High,0,75.51307380199432,24.486929178237915
12303,KOHIMA,ST,High,0,60.34654974937439,39.65345025062561
12303,KOHIMA,Overall,High,0,64.15284276008606,35.84715723991394
12304,LONGLENG,General,High,0,76.72200351953506,23.277997970581055
12304,LONGLENG,OBC,High,1,6.454747961045017e-33,100.0
12304,LONGLENG,SC,High,1,1.8559656025632324e-34,100.0
12304,LONGLENG,ST,High,1,0.00012474927189032314,99.99988079071045
12304,LONGLENG,Overall,High,1,1.493803267749172e-05,99.99998807907104
12305,MOKOKCHUNG,General,High,0,76.72200351953506,23.277997970581055
12305,MOKOKCHUNG,OBC,High,0,75.98847150802612,24.0115225315094
12305,MOKOKCHUNG,SC,High,0,75.51307380199432,24.486929178237915
12305,MOKOKCHUNG,ST,High,1,0.019402567704673856,99.98059868812561
12305,MOKOKCHUNG,Overall,High,1,0.09291082969866693,99.90708827972412
12306,MON,General,High,0,76.72200351953506,23.277997970581055
12306,MON,OBC,High,0,75.98847150802612,24.0115225315094
12306,MON,SC,High,1,4.5194086122536747e-20,100.0
12306,MON,ST,High,1,0.0016115342077682726,99.99839067459106
12306,MON,Overall,High,1,0.0010171598660235759,99.99898672103882
12307,PEREN,General,Low,1,3.7841574319740345e-18,100.0
12307,PEREN,OBC,Low,1,0.41607520543038845,99.58392381668091
12307,PEREN,SC,Low,1,2.5905637254056892e-17,100.0
12307,PEREN,ST,Low,0,54.47382032871246,45.526182651519775
12307,PEREN,Overall,Low,1,4.191748797893524,95.80824971199036
12308,PHEK,General,High,0,76.72200351953506,23.277997970581055
12308,PHEK,OBC,High,1,4.563231845340632e-11,100.0
12308,PHEK,SC,High,0,75.51307380199432,24.486929178237915
12308,PHEK,ST,High,1,0.8483069017529488,99.15169477462769
12308,PHEK,Overall,High,1,1.1823490262031555,98.81765246391296
12309,TUENSANG,General,High,0,76.72200351953506,23.277997970581055
12309,TUENSANG,OBC,High,1,1.8442468212902583e-15,100.0
12309,TUENSANG,SC,High,0,75.51307380199432,24.486929178237915
12309,TUENSANG,ST,High,1,0.007085448305588216,99.99291896820068
12309,TUENSANG,Overall,High,1,0.0212276034289971,99.97877478599548
12310,WOKHA,General,High,1,6.176429923065996e-08,100.0
12310,WOKHA,OBC,High,1,2.90053177217919e-16,100.0
12310,WOKHA,SC,High,0,75.51307380199432,24.486929178237915
12310,WOKHA,ST,High,1,13.745453953742981,86.25454306602478
12310,WOKHA,Overall,High,1,2.7948621660470963,97.20513820648193
12311,ZUNHEBOTO,General,High,0,76.72200351953506,23.277997970581055
12311,ZUNHEBOTO,OBC,High,0,75.98847150802612,24.0115225315094
12311,ZUNHEBOTO,SC,High,1,7.539305585271914e-13,100.0
12311,ZUNHEBOTO,ST,High,1,3.786845184095e-05,99.99996423721313
12311,ZUNHEBOTO,Overall,High,1,3.7864623436689726e-05,99.99996423721313
12401,ANGUL,General,High,0,76.72200351953506,23.277997970581055
12401,ANGUL,OBC,High,0,75.98847150802612,24.0115225315094
12401,ANGUL,SC,High,0,65.71570634841919,34.28429961204529
12401,ANGUL,ST,High,0,77.49419510364532,22.505801916122437
