DNo,Location,Social Category,Income,upPrim_Overall_socialcat,upPrim_Overall_income
10314,KAIMUR(BHABUA),SC,High,28.340452,71.65954
10315,KATIHAR,General,High,0.4136729,99.58632
10315,KATIHAR,OBC,High,9.204245,90.79575
10315,KATIHAR,SC,High,0.94170904,99.0583
10315,KATIHAR,Overall,High,0.15580776,99.8442
10316,KHAGARIA,General,High,32.765823,67.23417
10316,KHAGARIA,ST,High,49.263794,50.736202
10316,KHAGARIA,Overall,High,0.11100926,99.889
10317,KISHANGANJ,General,High,0.58557487,99.41443
10317,KISHANGANJ,OBC,High,0.04756119,99.95244
10317,KISHANGANJ,SC,High,1.1019032,98.8981
