DNo,Location,Social Category,Income,upPrim_Girls_socialcat,upPrim_Girls_income
10710,SouthWestA,SC,High,2.011867,97.98813
10710,SouthWestA,ST,High,0.81884104,99.18116
10710,SouthWestA,Overall,High,19.787657,80.21235
10711,SouthWestB,General,High,2.0014863,97.99851
10711,SouthWestB,OBC,High,30.276657,69.72334
10711,SouthWestB,ST,High,39.281773,60.718227
10712,WestA,General,High,0.39919484,99.60081
10712,WestA,SC,High,1.0077487,98.99225
10712,WestA,ST,High,1.9981546,98.00185
10712,WestA,Overall,High,2.737993,97.26201
10713,WestB,General,High,0.78731227,99.212685
10713,WestB,SC,High,13.950682,86.04932
10713,WestB,ST,High,1.071717,98.92828
10801,NORTHGOA,General,High,19.645218,80.354774
10801,NORTHGOA,OBC,High,3.057011,96.94299
10801,NORTHGOA,SC,High,3.2789946,96.72101
10802,SOUTHGOA,General,High,46.65243,53.34757
10802,SOUTHGOA,Overall,High,9.386975,90.61302
10901,AHMEDABAD,General,High,0.26893014,99.73108
10901,AHMEDABAD,OBC,High,6.226835,93.77317
10901,AHMEDABAD,SC,High,43.917374,56.08263
10901,AHMEDABAD,Overall,High,2.0386589,97.96134
10902,AMRELI,General,High,4.075303,95.9247
10902,AMRELI,OBC,High,15.720595,84.2794
10902,AMRELI,SC,High,1.4177997,98.5822
10902,AMRELI,ST,High,2.1224449,97.87756
10902,AMRELI,Overall,High,5.0102277,94.98978
10903,ANAND,General,High,0.82945675,99.17054
10903,ANAND,OBC,High,2.222419,97.77759
10903,ANAND,SC,High,4.5061145,95.49389
10903,ANAND,Overall,High,0.84881485,99.15119
10904,ARAVALLI,General,High,1.9576782,98.04232
10904,ARAVALLI,OBC,High,4.756916,95.24309
10904,ARAVALLI,SC,High,1.0547264,98.945274
10904,ARAVALLI,ST,High,34.872303,65.1277
10905,BANASKANTHA,Overall,High,1.1602173,98.839775
10906,BHARUCH,General,High,1.5480536,98.45195
10906,BHARUCH,OBC,High,1.1189696,98.88103
10906,BHARUCH,SC,High,2.2153773,97.78462
10906,BHARUCH,ST,High,29.997879,70.00213
10906,BHARUCH,Overall,High,2.6894147,97.31058
10907,BHAVNAGAR,General,High,10.955622,89.04437
10907,BHAVNAGAR,OBC,High,2.2998874,97.70011
10907,BHAVNAGAR,SC,High,2.1380732,97.86193
10907,BHAVNAGAR,ST,High,6.203225,93.796776
10908,BOTAD,General,High,6.490577,93.50942
10908,BOTAD,OBC,High,2.01979,97.98021
10908,BOTAD,SC,High,2.343776,97.65622
