DNo,Location,Social Category,Income,prim_Boys_socialcat,prim_Boys_income
10305,BEGUSARAI,ST,High,34.21472,65.78528
10305,BEGUSARAI,Overall,High,5.239281,94.76072
10306,BHAGALPUR,OBC,Low,3.3919764,96.608025
10306,BHAGALPUR,SC,Low,16.082573,83.91742
10306,BHAGALPUR,ST,Low,36.764027,63.23597
10306,BHAGALPUR,Overall,Low,3.8423114,96.157684
10307,BHOJPUR,OBC,Low,27.378004,72.621994
10307,BHOJPUR,ST,Low,23.829905,76.17009
10308,BUXAR,General,High,26.962658,73.03734
10308,BUXAR,OBC,High,5.59957,94.40043
10308,BUXAR,Overall,High,25.131756,74.86824
10309,DARBHANGA,General,High,4.800818,95.19918
10309,DARBHANGA,OBC,High,15.366975,84.633026
10309,DARBHANGA,SC,High,27.373917,72.62608
10309,DARBHANGA,ST,High,5.2666655,94.73333
10310,GAYA,General,Low,6.2156987,93.7843
10310,GAYA,SC,Low,36.06555,63.93444
10310,GAYA,ST,Low,20.059086,79.94092
10310,GAYA,Overall,Low,13.418695,86.5813
10311,GOPALGANJ,General,Low,4.719119,95.28088
10311,GOPALGANJ,OBC,Low,2.5111847,97.48881
10311,GOPALGANJ,SC,Low,45.91236,54.08764
10312,JAMUI,General,High,2.5103123,97.489685
10312,JAMUI,OBC,High,35.04461,64.95539
10312,JAMUI,SC,High,13.769873,86.230125
10312,JAMUI,ST,High,7.08336,92.91664
10312,JAMUI,Overall,High,5.3384175,94.661575
10313,JEHANABAD,ST,High,4.7463026,95.25369
10313,JEHANABAD,Overall,High,12.11302,87.88698
10314,KAIMUR(BHABUA),General,High,31.352245,68.64775
10314,KAIMUR(BHABUA),OBC,High,14.354266,85.64573
10314,KAIMUR(BHABUA),Overall,High,11.274275,88.72573
10315,KATIHAR,General,High,4.7221227,95.27788
10315,KATIHAR,OBC,High,43.41758,56.582417
10315,KATIHAR,SC,High,3.937842,96.06216
10316,KHAGARIA,Overall,High,13.414086,86.585915
10317,KISHANGANJ,General,High,3.454929,96.54507
10317,KISHANGANJ,OBC,High,16.046736,83.95327
10317,KISHANGANJ,ST,High,19.87017,80.12983
10317,KISHANGANJ,Overall,High,5.787973,94.21203
10318,LAKHISARAI,General,High,3.449649,96.55035
10319,MADHEPURA,General,High,4.4627113,95.53729
10319,MADHEPURA,OBC,High,38.692345,61.307655
10319,MADHEPURA,SC,High,3.7922924,96.20771
10319,MADHEPURA,ST,High,10.108104,89.89189
10319,MADHEPURA,Overall,High,3.158821,96.84119
10320,MADHUBANI,General,High,2.9766066,97.0234
10320,MADHUBANI,SC,High,27.658976,72.341034
10320,MADHUBANI,Overall,High,4.805271,95.194725
10321,MUNGER,SC,Low,6.260778,93.73923
10321,MUNGER,Overall,Low,4.9217386,95.07826
10322,MUZAFFARPUR,OBC,High,29.121664,70.87834
