DNo,Location,Social Category,Income,dropout,upPrim_Girls_social_category,upPrim_Girls_income
12107,SOUTHWESTGAROHILLS,SC,High,1,2.8039160326898127e-06,100.0
12107,SOUTHWESTGAROHILLS,ST,High,1,0.1030141138471663,99.89699125289917
12107,SOUTHWESTGAROHILLS,Overall,High,1,0.10141646489501,99.89858269691467
12108,SOUTHWESTKHASIHILLS,General,High,0,78.3909946680069,21.609002351760864
12108,SOUTHWESTKHASIHILLS,OBC,High,0,79.61528301239014,20.38472294807434
12108,SOUTHWESTKHASIHILLS,SC,High,0,78.72750461101532,21.27249240875244
12108,SOUTHWESTKHASIHILLS,ST,High,1,0.054291775450110435,99.9457061290741
12108,SOUTHWESTKHASIHILLS,Overall,High,1,0.09703522664494812,99.90296363830566
12109,WESTGAROHILLS,General,High,1,0.36245877854526043,99.63753819465637
12109,WESTGAROHILLS,OBC,High,1,0.00045848946683690883,99.9995470046997
12109,WESTGAROHILLS,SC,High,0,78.72750461101532,21.27249240875244
12109,WESTGAROHILLS,ST,High,1,0.05565793253481388,99.94433522224426
12109,WESTGAROHILLS,Overall,High,1,0.13475726591423154,99.86523985862732
12110,WESTJAINTIAHILLS,General,High,1,0.008360663196071982,99.99164342880249
12110,WESTJAINTIAHILLS,OBC,High,1,0.004233404615661129,99.99576807022095
12110,WESTJAINTIAHILLS,SC,High,1,4.347965876227988e-08,100.0
12110,WESTJAINTIAHILLS,ST,High,1,0.04970011650584638,99.95030164718628
12110,WESTJAINTIAHILLS,Overall,High,1,0.08222429314628243,99.91777539253235
12111,WESTKHASIHILLS,General,High,0,78.3909946680069,21.609002351760864
12111,WESTKHASIHILLS,OBC,High,0,79.61528301239014,20.38472294807434
12111,WESTKHASIHILLS,SC,High,0,78.72750461101532,21.27249240875244
12111,WESTKHASIHILLS,ST,High,1,0.019378789875190705,99.98062252998352
12111,WESTKHASIHILLS,Overall,High,1,0.039775329059921205,99.96022582054138
12201,AIZAWL,General,High,1,0.0024431341444142163,99.99755620956421
12201,AIZAWL,OBC,High,1,2.0765114072673896e-07,100.0
12201,AIZAWL,SC,High,0,78.72750461101532,21.27249240875244
12201,AIZAWL,ST,High,0,83.93717408180237,16.062825918197632
12201,AIZAWL,Overall,High,0,72.57311046123505,27.426892518997192
12202,CHAMPHAI,General,Low,0,77.10720747709274,22.892791032791138
12202,CHAMPHAI,OBC,Low,0,78.68927717208862,21.3107168674469
12202,CHAMPHAI,SC,Low,1,2.6124196139676314e-07,100.0
12202,CHAMPHAI,ST,Low,0,69.9763536453247,30.02365231513977
12202,CHAMPHAI,Overall,Low,1,30.73805570602417,69.26194429397583
12203,HNAHTHIAL,General,Low,0,77.10721492767334,22.89278507232666
12203,HNAHTHIAL,OBC,Low,0,78.68927717208862,21.3107168674469
12203,HNAHTHIAL,SC,Low,0,75.65930038690567,24.34069514274597
12203,HNAHTHIAL,ST,Low,0,85.13707965612411,14.862924814224243
12203,HNAHTHIAL,Overall,Low,0,69.05887722969055,30.94112277030945
12204,KHAWZAWL,General,Low,0,77.10721492767334,22.89278507232666
12204,KHAWZAWL,OBC,Low,0,78.68927717208862,21.3107168674469
12204,KHAWZAWL,SC,Low,0,75.65930038690567,24.34069514274597
12204,KHAWZAWL,ST,Low,1,0.25331287179142237,99.74669218063354
12204,KHAWZAWL,Overall,Low,1,0.271111773326993,99.72889423370361
12205,KOLASIB,General,High,1,8.227856174158887e-08,100.0
12205,KOLASIB,OBC,High,0,79.61528301239014,20.38472294807434
12205,KOLASIB,SC,High,1,0.0003453125827945769,99.9996542930603
12205,KOLASIB,ST,High,1,0.06425162428058684,99.9357521533966
12205,KOLASIB,Overall,High,1,0.054042995907366276,99.94595646858215
12206,LAWNGTLAI,General,High,0,78.3909946680069,21.609002351760864
12206,LAWNGTLAI,OBC,High,0,79.61528301239014,20.38472294807434
12206,LAWNGTLAI,SC,High,0,78.72750461101532,21.27249240875244
12206,LAWNGTLAI,ST,High,1,0.09327027364633977,99.90673661231995
12206,LAWNGTLAI,Overall,High,1,0.18002951983362436,99.81997013092041
12207,LUNGLEI,General,Low,1,0.001326038000115659,99.99867677688599
12207,LUNGLEI,OBC,Low,0,78.68927717208862,21.3107168674469
12207,LUNGLEI,SC,Low,1,1.8188201595867315e-10,100.0
12207,LUNGLEI,ST,Low,1,5.464902147650719,94.53510046005249
12207,LUNGLEI,Overall,Low,1,1.0509150102734566,98.94909262657166
12208,MAMIT,General,Low,0,77.10721492767334,22.89278507232666
12208,MAMIT,OBC,Low,1,1.2679914895841193e-06,100.0
12208,MAMIT,SC,Low,0,75.65930634737015,24.340689182281494
12208,MAMIT,ST,Low,1,0.013090591528452933,99.98691082000732
12208,MAMIT,Overall,Low,1,0.10274734813719988,99.89725351333618
12209,SAIHA,General,High,0,78.3909946680069,21.609002351760864
12209,SAIHA,OBC,High,0,79.61528301239014,20.38472294807434
12209,SAIHA,SC,High,0,78.72750461101532,21.27249240875244
12209,SAIHA,ST,High,1,37.321823835372925,62.678176164627075
12209,SAIHA,Overall,High,0,59.17673408985138,40.82326292991638
12210,SAITUAL,General,High,0,78.3909946680069,21.609002351760864
12210,SAITUAL,OBC,High,0,79.61528301239014,20.38472294807434
12210,SAITUAL,SC,High,0,78.72750461101532,21.27249240875244
12210,SAITUAL,ST,High,0,82.53919631242752,17.4608051776886
12210,SAITUAL,Overall,High,0,70.53220868110657,29.46779727935791
12211,SERCHHIP,General,High,1,1.058644638618489e-06,100.0
12211,SERCHHIP,OBC,High,1,0.0002259158236483927,99.99977350234985
12211,SERCHHIP,SC,High,0,78.72750461101532,21.27249240875244
12211,SERCHHIP,ST,High,0,83.93717408180237,16.062825918197632
12211,SERCHHIP,Overall,High,0,72.57311046123505,27.426892518997192
12301,DIMAPUR,General,High,1,0.016009439423214644,99.98399019241333
12301,DIMAPUR,OBC,High,0,79.61528301239014,20.38472294807434
12301,DIMAPUR,SC,High,1,0.0006256997949094512,99.99938011169434
12301,DIMAPUR,ST,High,0,83.93717408180237,16.062825918197632
12301,DIMAPUR,Overall,High,1,4.020916670560837,95.97907662391663
12302,KIPHIRE,General,High,1,1.6729291563155613e-09,100.0
12302,KIPHIRE,OBC,High,1,0.002260141627630219,99.99773502349854
12302,KIPHIRE,SC,High,0,78.72750461101532,21.27249240875244
12302,KIPHIRE,ST,High,0,83.93717408180237,16.062825918197632
12302,KIPHIRE,Overall,High,0,72.57311046123505,27.426892518997192
