DNo,Location,Social Category,Income,dropout,prim_Overall_social_category,prim_Overall_income
10305,BEGUSARAI,Overall,High,1,0.7358086295425892,99.26418662071228
10306,BHAGALPUR,General,Low,0,82.5015664100647,17.498433589935303
10306,BHAGALPUR,OBC,Low,1,0.21881319116801023,99.78118538856506
10306,BHAGALPUR,SC,Low,1,41.790589690208435,58.209407329559326
10306,BHAGALPUR,ST,Low,0,84.28528308868408,15.714716911315918
10306,BHAGALPUR,Overall,Low,1,4.479394853115082,95.5206036567688
10307,BHOJPUR,General,Low,0,88.14590349793434,11.85409426689148
10307,BHOJPUR,OBC,Low,1,32.556551694869995,67.44344830513
10307,BHOJPUR,SC,Low,0,84.20865684747696,15.79134464263916
10307,BHOJPUR,ST,Low,0,84.28528308868408,15.714716911315918
10307,BHOJPUR,Overall,Low,0,84.13024693727493,15.869754552841187
10308,BUXAR,General,High,1,47.18131422996521,52.81868577003479
10308,BUXAR,OBC,High,1,4.114848375320435,95.88514566421509
10308,BUXAR,SC,High,0,84.28528308868408,15.714716911315918
10308,BUXAR,ST,High,0,82.5015664100647,17.498433589935303
10308,BUXAR,Overall,High,1,28.452086448669434,71.54791355133057
10309,DARBHANGA,General,High,1,0.13699267292395234,99.86300468444824
10309,DARBHANGA,OBC,High,1,10.221414268016815,89.77859020233154
10309,DARBHANGA,SC,High,1,3.320062533020973,96.67993783950806
10309,DARBHANGA,ST,High,1,5.835029482841492,94.16496753692627
10309,DARBHANGA,Overall,High,0,83.09198915958405,16.908013820648193
10310,GAYA,General,Low,1,0.2469418104737997,99.75306391716003
10310,GAYA,OBC,Low,0,84.13024693727493,15.869754552841187
10310,GAYA,SC,Low,0,71.15079760551453,28.849202394485474
10310,GAYA,ST,Low,1,15.60814380645752,84.39185619354248
10310,GAYA,Overall,Low,1,18.770088255405426,81.2299132347107
10311,GOPALGANJ,General,Low,1,1.1039257049560547,98.89606833457947
10311,GOPALGANJ,OBC,Low,1,0.4150301683694124,99.58497285842896
10311,GOPALGANJ,SC,Low,0,78.39024066925049,21.60975933074951
10311,GOPALGANJ,ST,Low,0,84.20865684747696,15.79134464263916
10311,GOPALGANJ,Overall,Low,0,84.28528308868408,15.714716911315918
10312,JAMUI,General,High,1,0.2474399982020259,99.75256323814392
10312,JAMUI,OBC,High,0,50.484561920166016,49.515438079833984
10312,JAMUI,SC,High,1,9.953369945287704,90.046626329422
10312,JAMUI,ST,High,1,7.961539924144745,92.03845858573914
10312,JAMUI,Overall,High,1,0.24644462391734123,99.75355863571167
10313,JEHANABAD,General,High,0,83.09198915958405,16.908013820648193
10313,JEHANABAD,OBC,High,0,88.14590349793434,11.85409426689148
10313,JEHANABAD,SC,High,0,84.13024693727493,15.869754552841187
10313,JEHANABAD,ST,High,0,84.20865684747696,15.79134464263916
10313,JEHANABAD,Overall,High,1,39.95339572429657,60.04660725593567
10314,KAIMUR(BHABUA),General,High,0,64.67020511627197,35.32979488372803
10314,KAIMUR(BHABUA),OBC,High,1,0.004058969716425054,99.99593496322632
10314,KAIMUR(BHABUA),SC,High,0,84.20865684747696,15.79134464263916
10314,KAIMUR(BHABUA),ST,High,0,84.993876516819,15.00612497329712
10314,KAIMUR(BHABUA),Overall,High,1,0.34097330644726753,99.6590256690979
10315,KATIHAR,General,High,1,0.2486218698322773,99.75137710571289
10315,KATIHAR,OBC,High,0,84.13024693727493,15.869754552841187
10315,KATIHAR,SC,High,1,1.844407245516777,98.15559983253479
10315,KATIHAR,ST,High,0,82.5015664100647,17.498433589935303
10315,KATIHAR,Overall,High,0,82.5015738606453,17.498427629470825
10316,KHAGARIA,General,High,0,84.99387949705124,15.006119012832642
10316,KHAGARIA,OBC,High,0,84.13024693727493,15.869754552841187
10316,KHAGARIA,SC,High,0,82.5015664100647,17.498433589935303
10316,KHAGARIA,ST,High,0,67.01545119285583,32.984548807144165
10316,KHAGARIA,Overall,High,1,0.08423163671977818,99.91576671600342
10317,KISHANGANJ,General,High,1,0.24609940592199564,99.75390434265137
10317,KISHANGANJ,OBC,High,1,0.5810035858303308,99.4189977645874
10317,KISHANGANJ,SC,High,0,82.5015664100647,17.498433589935303
10317,KISHANGANJ,ST,High,1,26.366424560546875,73.63357543945312
10317,KISHANGANJ,Overall,High,1,0.17597390105947852,99.82402324676514
10318,LAKHISARAI,General,High,1,1.3015227392315865,98.69847893714905
10318,LAKHISARAI,OBC,High,0,75.58682560920715,24.413174390792847
10318,LAKHISARAI,SC,High,0,88.14590349793434,11.85409426689148
10318,LAKHISARAI,ST,High,0,78.39024066925049,21.60975933074951
10318,LAKHISARAI,Overall,High,0,83.09198915958405,16.908013820648193
10319,MADHEPURA,General,High,1,0.3606520127505064,99.63935017585754
10319,MADHEPURA,OBC,High,0,88.14590349793434,11.85409426689148
10319,MADHEPURA,SC,High,1,0.3579853568226099,99.642014503479
10319,MADHEPURA,ST,High,1,32.556551694869995,67.44344830513
10319,MADHEPURA,Overall,High,1,0.04151077591814101,99.95848536491394
10320,MADHUBANI,General,High,1,0.46033975668251514,99.53965544700623
10320,MADHUBANI,OBC,High,0,84.28528308868408,15.714716911315918
10320,MADHUBANI,SC,High,1,43.21115016937256,56.78884983062744
10320,MADHUBANI,ST,High,0,84.993876516819,15.00612497329712
10320,MADHUBANI,Overall,High,1,0.21685832180082798,99.7831404209137
10321,MUNGER,General,Low,0,84.13024693727493,15.869754552841187
10321,MUNGER,OBC,Low,0,84.20865684747696,15.79134464263916
10321,MUNGER,SC,Low,1,0.3368537873029709,99.66314435005188
10321,MUNGER,ST,Low,0,84.20865684747696,15.79134464263916
10321,MUNGER,Overall,Low,1,0.2183724893257022,99.78162050247192
10322,MUZAFFARPUR,General,High,0,78.39024066925049,21.60975933074951
10322,MUZAFFARPUR,OBC,High,1,23.73410314321518,76.2658953666687
10322,MUZAFFARPUR,SC,High,1,1.519945915788412,98.48005771636963
10322,MUZAFFARPUR,ST,High,1,13.161738216876984,86.83825731277466
10322,MUZAFFARPUR,Overall,High,1,26.359358429908752,73.64063262939453
10323,NALANDA,General,Low,1,13.50323110818863,86.49677038192749
10323,NALANDA,OBC,Low,0,84.28528308868408,15.714716911315918
10323,NALANDA,SC,Low,1,0.2178220311179757,99.78218078613281
10323,NALANDA,ST,Low,0,72.8987455368042,27.1012544631958
10323,NALANDA,Overall,Low,0,88.14590349793434,11.85409426689148
10324,NAWADA,General,High,0,82.5015664100647,17.498433589935303
10324,NAWADA,OBC,High,0,82.5015664100647,17.498433589935303
10324,NAWADA,SC,High,0,84.20865684747696,15.79134464263916
10324,NAWADA,ST,High,0,84.13024693727493,15.869754552841187
10324,NAWADA,Overall,High,0,79.73487824201584,20.26512622833252
10325,PASHCHIMCHAMPARAN,General,High,1,0.17261524917557836,99.82738494873047
10325,PASHCHIMCHAMPARAN,OBC,High,1,0.033987677306868136,99.96601343154907
10325,PASHCHIMCHAMPARAN,SC,High,1,9.345129877328873,90.65487384796143
10325,PASHCHIMCHAMPARAN,ST,High,1,0.0010927518815151416,99.99890327453613
10325,PASHCHIMCHAMPARAN,Overall,High,0,81.46562874317169,18.53436827659607
10326,PATNA,General,Low,1,5.11467345058918,94.88533139228821
10326,PATNA,OBC,Low,0,78.39024066925049,21.60975933074951
10326,PATNA,SC,Low,0,84.20865684747696,15.79134464263916
10326,PATNA,ST,Low,0,88.14590349793434,11.85409426689148
10326,PATNA,Overall,Low,0,84.28528308868408,15.714716911315918
10327,PURBACHAMPARAN,General,Low,0,78.39024066925049,21.60975933074951
10327,PURBACHAMPARAN,OBC,Low,0,62.79865205287933,37.201350927352905
10327,PURBACHAMPARAN,SC,Low,1,47.4177360534668,52.5822639465332
10327,PURBACHAMPARAN,ST,Low,0,84.20865684747696,15.79134464263916
10327,PURBACHAMPARAN,Overall,Low,0,84.20865684747696,15.79134464263916
10328,PURNIA,General,High,1,0.1967964693903923,99.80320334434509
10328,PURNIA,OBC,High,0,83.57576429843903,16.424238681793213
10328,PURNIA,SC,High,1,1.4316089451313019,98.56839179992676
10328,PURNIA,ST,High,1,8.581976592540741,91.41802191734314
10328,PURNIA,Overall,High,1,9.51487272977829,90.48512578010559
10329,ROHTAS,General,High,1,0.42948732152581215,99.57051873207092
10329,ROHTAS,OBC,High,1,17.805293202400208,82.19470977783203
10329,ROHTAS,SC,High,0,85.73264628648758,14.267361164093018
10329,ROHTAS,ST,High,0,78.39024066925049,21.60975933074951
10329,ROHTAS,Overall,High,0,84.20865684747696,15.79134464263916
10330,SAHARSA,General,High,1,1.093058753758669,98.9069402217865
10330,SAHARSA,OBC,High,1,14.640873670578003,85.35913228988647
10330,SAHARSA,SC,High,0,84.13024693727493,15.869754552841187
10330,SAHARSA,ST,High,0,84.20865684747696,15.79134464263916
10330,SAHARSA,Overall,High,1,13.161738216876984,86.83825731277466
10331,SAMASTIPUR,General,High,1,0.023575271188747138,99.97642636299133
10331,SAMASTIPUR,OBC,High,0,84.20865684747696,15.79134464263916
10331,SAMASTIPUR,SC,High,1,0.30247734393924475,99.69751834869385
10331,SAMASTIPUR,ST,High,0,84.13024693727493,15.869754552841187
10331,SAMASTIPUR,Overall,High,0,84.20865684747696,15.79134464263916
10332,SARAN,General,Low,1,17.219747602939606,82.78025388717651
10332,SARAN,OBC,Low,0,84.13024693727493,15.869754552841187
10332,SARAN,SC,Low,0,82.5015664100647,17.498433589935303
