DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income
13245,KAUSHAMBI,OBC,High,1,0.5606358405202627,99.43935871124268
13245,KAUSHAMBI,SC,High,1,0.489688478410244,99.5103120803833
13245,KAUSHAMBI,ST,High,0,77.12338268756866,22.876614332199097
13245,KAUSHAMBI,Overall,High,1,0.6155841518193483,99.38441514968872
13246,KHERI,General,High,1,1.1175522580742836,98.88244271278381
13246,KHERI,OBC,High,1,10.222962498664856,89.7770345211029
13246,KHERI,SC,High,1,2.7135228738188744,97.28647470474243
13246,KHERI,ST,High,0,77.12338268756866,22.876614332199097
13246,KHERI,Overall,High,1,4.121114686131477,95.87888717651367
13247,KUSHINAGAR,General,Low,1,0.026644283207133412,99.97335076332092
13247,KUSHINAGAR,OBC,Low,1,0.013855619181413203,99.9861478805542
13247,KUSHINAGAR,SC,Low,1,0.034140716888941824,99.96585845947266
13247,KUSHINAGAR,ST,Low,1,2.2855540577177728e-17,100.0
13247,KUSHINAGAR,Overall,Low,1,0.01329274382442236,99.98670816421509
13248,LALITPUR,General,High,1,0.29739607125520706,99.70260262489319
13248,LALITPUR,OBC,High,1,3.61950621008873,96.38049006462097
13248,LALITPUR,SC,High,1,0.21852238569408655,99.78147745132446
13248,LALITPUR,ST,High,1,0.9284889325499535,99.07151460647583
13248,LALITPUR,Overall,High,1,0.7746200542896986,99.2253839969635
13249,LUCKNOW,General,High,0,77.79921293258667,22.200793027877808
13249,LUCKNOW,OBC,High,1,0.030705786775797606,99.96929168701172
13249,LUCKNOW,SC,High,1,0.6357000675052404,99.36429262161255
13249,LUCKNOW,ST,High,0,77.12338268756866,22.876614332199097
13249,LUCKNOW,Overall,High,1,3.103647381067276,96.89635634422302
13250,MAHARAJGANJ,General,High,1,0.0036139623261988163,99.99638795852661
13250,MAHARAJGANJ,OBC,High,1,0.22180976811796427,99.77819323539734
13250,MAHARAJGANJ,SC,High,1,0.04052135918755084,99.95947480201721
13250,MAHARAJGANJ,ST,High,0,77.12338268756866,22.876614332199097
13250,MAHARAJGANJ,Overall,High,1,0.1153263496235013,99.88467693328857
13251,MAHOBA,General,High,1,0.6059070117771626,99.39409494400024
13251,MAHOBA,OBC,High,1,38.77943158149719,61.220574378967285
13251,MAHOBA,SC,High,1,0.3488532966002822,99.65115189552307
13251,MAHOBA,ST,High,1,0.00011215850008738926,99.9998927116394
13251,MAHOBA,Overall,High,1,2.6906438171863556,97.30936288833618
13252,MAINPURI,General,High,0,77.79921293258667,22.200793027877808
13252,MAINPURI,OBC,High,1,1.5935355797410011,98.40646386146545
13252,MAINPURI,SC,High,1,0.3543914295732975,99.64560866355896
13252,MAINPURI,ST,High,0,77.12338268756866,22.876614332199097
13252,MAINPURI,Overall,High,1,10.613130778074265,89.38686847686768
13253,MATHURA,General,High,0,77.79921293258667,22.200793027877808
13253,MATHURA,OBC,High,0,80.2348867058754,19.765114784240723
13253,MATHURA,SC,High,0,78.93815338611603,21.061843633651733
13253,MATHURA,ST,High,0,77.12338268756866,22.876614332199097
13253,MATHURA,Overall,High,0,73.42084348201752,26.579153537750244
13254,MAU,General,High,0,56.97809457778931,43.02190542221069
13254,MAU,OBC,High,1,0.16175552736967802,99.83824491500854
13254,MAU,SC,High,1,0.033193337731063366,99.96681213378906
13254,MAU,ST,High,0,77.12338268756866,22.876614332199097
13254,MAU,Overall,High,1,0.2543430309742689,99.74566102027893
13255,MEERUT,General,High,1,16.877028346061707,83.12296867370605
13255,MEERUT,OBC,High,1,38.77943158149719,61.220574378967285
13255,MEERUT,SC,High,0,78.93815338611603,21.061843633651733
13255,MEERUT,ST,High,0,77.12337970733643,22.876620292663574
13255,MEERUT,Overall,High,0,72.37304151058197,27.62695550918579
13256,MIRZAPUR,General,High,1,33.75130593776703,66.24869108200073
13256,MIRZAPUR,OBC,High,1,42.1880304813385,57.81197547912598
13256,MIRZAPUR,SC,High,1,0.07790950476191938,99.92208480834961
13256,MIRZAPUR,ST,High,0,77.12338268756866,22.876614332199097
13256,MIRZAPUR,Overall,High,1,1.747099682688713,98.25290441513062
13257,MORADABAD,General,Low,1,0.0012592527127708308,99.99873638153076
13257,MORADABAD,OBC,Low,1,0.052325899014249444,99.94767308235168
13257,MORADABAD,SC,Low,1,22.072352468967438,77.92764902114868
13257,MORADABAD,ST,Low,0,80.59731274843216,19.402682781219482
13257,MORADABAD,Overall,Low,1,0.018408449250273407,99.98160004615784
13258,MUZAFFARNAGAR,General,High,1,0.016411094111390412,99.98358488082886
13258,MUZAFFARNAGAR,OBC,High,1,0.1456094323657453,99.85439777374268
13258,MUZAFFARNAGAR,SC,High,0,78.93815338611603,21.061843633651733
13258,MUZAFFARNAGAR,ST,High,0,77.12338268756866,22.876614332199097
