DNo,Location,Social Category,Income,snr_Overall_socialcat,snr_Overall_income
10506,BIJAPUR,Overall,High,0.57332903,99.42667
10507,BILASPUR,General,High,0.13831346,99.86168
10507,BILASPUR,OBC,High,0.16440941,99.835594
10507,BILASPUR,OBC,High,5.0816593,94.91835
10507,BILASPUR,SC,High,0.5707577,99.42925
10507,BILASPUR,ST,High,7.18663,92.81337
10507,BILASPUR,ST,High,1.3179942,98.68201
10507,BILASPUR,Overall,High,0.19979921,99.8002
10507,BILASPUR,Overall,High,0.55404454,99.44595
10508,DANTEWADA,General,High,0.5340484,99.46595
10508,DANTEWADA,OBC,High,21.12311,78.87689
10508,DANTEWADA,ST,High,1.5600305,98.439964
10508,DANTEWADA,Overall,High,26.25289,73.7471
10509,DHAMTARI,General,High,0.12469598,99.875305
10509,DHAMTARI,OBC,High,0.88763034,99.112366
10509,DHAMTARI,SC,High,1.3034223,98.69658
10509,DHAMTARI,ST,High,21.072731,78.92727
10509,DHAMTARI,Overall,High,13.90633,86.09367
10510,DURG,General,Middle,0.19783221,99.80217
10510,DURG,OBC,Middle,0.7895275,99.21048
10510,DURG,SC,Middle,0.30425787,99.69574
10510,DURG,ST,Middle,0.831857,99.16814
10510,DURG,Overall,Middle,0.55062205,99.44938
10511,GARIABAND,General,Middle,0.32355386,99.676445
10511,GARIABAND,OBC,Middle,5.2475257,94.75247
10511,GARIABAND,SC,Middle,0.20261449,99.797386
10511,GARIABAND,ST,Middle,2.1838343,97.81617
10511,GARIABAND,Overall,Middle,1.3712932,98.62871
10512,GOURELAPENDRAMARVAHI,General,Middle,1.2043471,98.79565
10512,GOURELAPENDRAMARVAHI,OBC,Middle,5.9949527,94.00505
10512,GOURELAPENDRAMARVAHI,SC,Middle,0.19670153,99.8033
10512,GOURELAPENDRAMARVAHI,ST,Middle,0.30650714,99.69349
10512,GOURELAPENDRAMARVAHI,Overall,Middle,2.853606,97.1464
10513,JANJGIR-CHAMPA,General,Middle,0.3883805,99.61162
10513,JANJGIR-CHAMPA,OBC,Middle,1.4154322,98.584564
10513,JANJGIR-CHAMPA,ST,Middle,36.27958,63.720417
10514,JASHPUR,General,High,0.3147094,99.685295
10514,JASHPUR,OBC,High,30.017576,69.98242
10514,JASHPUR,SC,High,0.031365175,99.968636
10514,JASHPUR,ST,High,0.7000218,99.29998
10514,JASHPUR,Overall,High,0.860654,99.13934
10515,KANKER,General,High,0.22397488,99.77602
10515,KANKER,OBC,High,0.14566907,99.85434
10515,KANKER,SC,High,0.5179523,99.48205
10515,KANKER,ST,High,25.535318,74.46468
10515,KANKER,Overall,High,8.744532,91.25547
10516,KAWARDHA,General,High,0.5054202,99.49458
10516,KAWARDHA,OBC,High,1.3414326,98.65856
10516,KAWARDHA,SC,High,1.4598428,98.54015
10516,KAWARDHA,ST,High,27.64658,72.353424
10516,KAWARDHA,Overall,High,49.890495,50.109505
10517,KONDAGAON,General,High,3.2844982,96.7155
10517,KONDAGAON,OBC,High,1.5171514,98.48286
10517,KONDAGAON,SC,High,0.025715621,99.97428
10517,KONDAGAON,ST,High,4.481977,95.51803
