DNo,Location,Social Category,Income,dropout,snr_Overall_social_category,snr_Overall_income
10335,SITAMARHI,SC,High,1,1.0060305707156658,98.99396300315857
10335,SITAMARHI,ST,High,1,0.6516662426292896,99.34833645820618
10335,SITAMARHI,Overall,High,1,0.5490852054208517,99.45091605186462
10336,SIWAN,General,High,1,1.2383438718899242e-07,100.0
10336,SIWAN,OBC,High,1,0.03380693378858268,99.9661922454834
10336,SIWAN,SC,High,1,0.3954993560910225,99.6044933795929
10336,SIWAN,ST,High,1,0.12146912049502134,99.87853169441223
10336,SIWAN,Overall,High,1,0.0018973614714923315,99.99810457229614
10337,SUPAUL,General,High,1,0.03291194443590939,99.96708631515503
10337,SUPAUL,OBC,High,1,0.019474240252748132,99.98052716255188
10337,SUPAUL,SC,High,1,0.0022441152395913377,99.99775886535645
10337,SUPAUL,ST,High,0,65.55070877075195,34.44929122924805
10337,SUPAUL,Overall,High,1,0.12390232877805829,99.87609386444092
10338,VAISHALI,General,High,1,0.0013303318155521993,99.99866485595703
10338,VAISHALI,OBC,High,1,0.00010349597232561791,99.9998927116394
10338,VAISHALI,SC,High,1,0.004136876304983161,99.99586343765259
10338,VAISHALI,ST,High,1,0.022611960594076663,99.9773919582367
10338,VAISHALI,Overall,High,1,1.0674518533051014,98.93254041671753
10401,CHANDIGARH,General,High,1,0.02996977709699422,99.97003078460693
10401,CHANDIGARH,OBC,High,1,0.07469039992429316,99.92530941963196
10401,CHANDIGARH,SC,High,1,3.9745312184095383,96.02546691894531
10401,CHANDIGARH,ST,High,1,2.201257646083832,97.79874086380005
10401,CHANDIGARH,Overall,High,1,0.0009794835023058113,99.99902248382568
10501,BALOD,General,High,1,1.5901466831564903,98.4098494052887
10501,BALOD,OBC,High,0,61.363184452056885,38.63680958747864
10501,BALOD,SC,High,1,0.003553611531970091,99.99644756317139
10501,BALOD,ST,High,1,5.8377969125444906e-08,100.0
10501,BALOD,Overall,High,1,0.051588116912171245,99.94840621948242
10502,BALODABAZAR,General,High,1,0.05852135946042836,99.94148015975952
10502,BALODABAZAR,OBC,High,1,0.864175520837307,99.13582801818848
10502,BALODABAZAR,SC,High,1,0.00018051433698929031,99.99982118606567
10502,BALODABAZAR,ST,High,1,5.583774670958519,94.41622495651245
10502,BALODABAZAR,Overall,High,1,0.05670348764397204,99.94329810142517
10503,BALRAMPUR,General,High,1,0.011700343020493165,99.98829364776611
10503,BALRAMPUR,OBC,High,1,0.003476648635114543,99.99651908874512
10503,BALRAMPUR,SC,High,0,80.89867830276489,19.101321697235107
10503,BALRAMPUR,ST,High,0,61.363184452056885,38.63680958747864
10503,BALRAMPUR,Overall,High,1,0.17358746845275164,99.82641339302063
10504,BASTER,General,High,1,7.477478902728762e-05,99.99992847442627
10504,BASTER,OBC,High,1,0.011835583427455276,99.98816251754761
10504,BASTER,SC,High,1,0.03442490997258574,99.96557235717773
10504,BASTER,ST,High,1,0.49962648190557957,99.50037598609924
10504,BASTER,Overall,High,1,0.0034944885555887595,99.99650716781616
10505,BEMETARA,General,High,1,0.11428953148424625,99.88571405410767
10505,BEMETARA,OBC,High,1,1.3135255017004965e-05,99.99998807907104
10505,BEMETARA,SC,High,1,0.6008349824696779,99.39916729927063
10505,BEMETARA,ST,High,1,48.98399114608765,51.01600885391235
10505,BEMETARA,Overall,High,1,0.2730966778472066,99.72689747810364
