Navrangpura,380009,23.0355882,72.5641854,"Navrangpura, Commerce College Road, Gulbai tekra, Navrangpura - 380009, GJ, India",Navrangpura,,Commerce College Road,380009,,Gulbai tekra,Navrangpura,Ahmedabad City Taluka,Gujarat,GJ,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Shah Alam Roza,380028,22.9998665,72.5829655,"Shah Alam, BRTS Station, DaniLimda, Ahmedabad - 380001, GJ, India",Shah Alam,,BRTS Station,380001,,DaniLimda,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.2,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bakrol,382210,22.562472,72.911477,"Bakrol, Anand, India",,,,,,,Bakrol,Anand,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Bhat,382210,22.8774195,72.4622791,"SubCentre, Bhat, NH751, - 382210, GJ, India","SubCentre, Bhat",,NH751,382210,,,,Daskroi Taluka,Gujarat,GJ,India,in,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Motera,380005,23.0917717,72.59733447,"Narendra Modi Stadium, Motera Stadium Exit Road, Sabarmati, Ahmedabad - 380001, GJ, India",Narendra Modi Stadium,,Motera Stadium Exit Road,380001,,Sabarmati,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.27,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
O N G C,380005,23.081075,69.594983,"Sector G Road C, Kera - 370430, GJ, India",,,Sector G Road C,370430,,,Kera,Kachchh,Gujarat,GJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sabarmati,380005,23.0770712,72.5890677,"Sabarmati, BULKHIDAS ROAD, Sabarmati, Ahmedabad - 380001, GJ, India",Sabarmati,,BULKHIDAS ROAD,380001,,Sabarmati,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.3,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kasindra,382210,22.8926473,72.4823306,"Kasindra PHC, NH751, - 382210, GJ, India",Kasindra PHC,,NH751,382210,,,,Daskroi Taluka,Gujarat,GJ,India,in,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kolat,382210,22.95523425,72.42225723,"Kolat, Sanand Taluka, India",Kolat,,,,,,Kolat,Sanand Taluka,Gujarat,GJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Navapura,382210,22.945666,72.451684,"Navapura, Ahmadabad, India",,,,,,,Navapura,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
