,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
26,13227,Overall,0,0,,1,1,,0,3,,1.0,2.0,0.0
27,13228,Overall,0,0,,1,1,,0,3,,1.0,2.0,0.0
28,13229,Overall,0,0,,1,1,,0,3,,1.0,2.0,0.0
29,13230,Overall,0,0,,1,1,,0,3,,1.0,2.0,0.0
30,13231,Overall,0,0,,1,1,,0,3,,4.0,2.0,0.0
31,13232,Overall,0,0,,1,1,,0,3,,4.0,2.0,0.0
32,13233,Overall,4,0,,1,1,,0,3,,4.0,2.0,0.0
33,13234,Overall,4,0,,1,1,,0,3,,4.0,2.0,0.0
34,13235,Overall,4,0,,1,1,,0,0,,4.0,2.0,0.0
35,13236,Overall,4,0,,1,1,,0,0,,4.0,2.0,0.0
36,13237,Overall,4,0,,1,1,,0,0,,4.0,2.0,0.0
37,13238,Overall,4,3,,1,1,,0,0,,4.0,2.0,0.0
38,13239,Overall,4,3,,1,1,,0,0,,4.0,2.0,0.0
39,13240,Overall,4,3,,3,0,,0,0,,4.0,2.0,0.0
40,13241,Overall,4,3,,3,0,,0,0,,4.0,2.0,0.0
41,13242,Overall,4,3,,3,0,,0,0,,4.0,0.0,0.0
42,13243,Overall,4,3,,3,0,,0,0,,4.0,0.0,0.0
43,13244,Overall,1,3,,3,0,,0,0,,2.0,0.0,0.0
44,13245,Overall,1,3,,3,0,,0,0,,2.0,0.0,0.0
45,13246,Overall,1,3,,3,0,,1,0,,2.0,0.0,0.0
46,13247,Overall,1,3,,3,0,,1,0,,2.0,0.0,1.0
47,13248,Overall,1,3,,3,0,,1,0,,2.0,0.0,0.0
48,13249,Overall,1,3,,3,0,,1,0,,2.0,0.0,1.0
49,13250,Overall,1,3,,3,0,,1,0,,2.0,0.0,1.0
50,13251,Overall,1,1,,3,0,,1,0,,2.0,0.0,0.0
51,13252,Overall,1,1,,2,0,,1,0,,2.0,0.0,1.0
52,13253,Overall,1,1,,2,0,,1,0,,2.0,0.0,1.0
53,13254,Overall,1,1,,2,0,,1,0,,2.0,0.0,1.0
54,13255,Overall,1,1,,2,0,,1,0,,2.0,0.0,1.0
55,13256,Overall,1,1,,2,0,,1,2,,2.0,0.0,1.0
56,13257,Overall,1,1,,2,0,,1,2,,0.0,0.0,1.0
57,13258,Overall,1,1,,2,0,,1,2,,0.0,0.0,1.0
58,13259,Overall,2,1,,2,2,,1,2,,0.0,0.0,1.0
59,13260,Overall,2,1,,2,2,,1,2,,0.0,3.0,1.0
60,13261,Overall,2,1,,2,0,,1,2,,0.0,0.0,1.0
61,13262,Overall,2,1,,2,2,,1,2,,0.0,3.0,1.0
62,13263,Overall,2,1,,2,2,,3,2,,0.0,3.0,3.0
63,13264,Overall,2,1,,4,2,,3,2,,0.0,3.0,3.0
64,13265,Overall,2,1,,4,2,,1,2,,0.0,3.0,3.0
65,13266,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
66,13267,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
67,13268,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
68,13269,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
69,13270,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
70,13271,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
71,13272,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
72,13273,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
73,13274,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
74,13275,Overall,2,4,,4,2,,3,2,,0.0,3.0,3.0
0,13201,SC,2,2,3.0,4,4,4.0,1,4,4.0,,,
