DNo,District,Social Category,Income,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall
10301,ARARIA,General,High,0.0,0.0,0.0,8.77,10.42,9.57,20.63,14.24,17.47
10301,ARARIA,OBC,High,0.0,0.32,0.11,9.43,8.81,9.13,22.13,17.32,19.8
10301,ARARIA,SC,High,2.09,2.23,2.17,10.15,10.55,10.36,24.18,14.57,19.1
10301,ARARIA,ST,High,0.0,0.0,0.0,1.8,9.7,6.0,7.59,0.0,1.67
10301,ARARIA,Overall,High,0.09,0.53,0.31,9.36,9.19,9.28,21.98,16.33,19.2
10302,ARWAL,General,Low,2.57,6.24,4.62,6.49,2.02,4.17,5.97,0.0,0.0
10302,ARWAL,OBC,Low,0.94,2.5,1.75,3.28,0.63,1.96,9.99,0.0,2.9
10302,ARWAL,SC,Low,0.0,0.0,0.0,1.78,2.55,2.16,14.63,6.71,10.66
10302,ARWAL,ST,Low,0.0,0.0,0.0,28.9,15.28,22.17,53.05,37.5,44.44
10302,ARWAL,Overall,Low,0.0,1.42,0.63,3.45,1.35,2.41,11.23,0.0,4.86
10303,AURANGABAD(BIHAR),General,Low,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0
10303,AURANGABAD(BIHAR),OBC,Low,0.0,0.0,0.0,9.59,8.1,8.86,18.18,21.56,19.84
10303,AURANGABAD(BIHAR),SC,Low,0.0,0.0,0.0,10.25,3.87,7.07,20.02,20.98,20.49
