DNo,Location,Social Category,Income,fact_socialcat,fact_income
10315,KATIHAR,SC,High,5.95785e-06,100.0
10315,KATIHAR,ST,High,2.9244725e-06,100.0
10315,KATIHAR,Overall,High,2.9280656e-07,100.0
10316,KHAGARIA,General,High,0.003848876,99.99615
10316,KHAGARIA,OBC,High,0.050807856,99.949196
10316,KHAGARIA,SC,High,0.006175027,99.99383
10316,KHAGARIA,ST,High,0.024262346,99.97574
10316,KHAGARIA,Overall,High,8.39393e-08,100.0
10317,KISHANGANJ,General,High,0.0012311295,99.99877
10317,KISHANGANJ,OBC,High,2.9303172e-07,100.0
10317,KISHANGANJ,SC,High,0.00012696016,99.99987
10317,KISHANGANJ,ST,High,0.046405952,99.95359
10318,LAKHISARAI,General,High,0.00039549512,99.9996
10318,LAKHISARAI,OBC,High,0.48013812,99.51987
10318,LAKHISARAI,SC,High,43.97179,56.028206
10318,LAKHISARAI,ST,High,0.0001372633,99.999855
10318,LAKHISARAI,Overall,High,0.017469285,99.98253
10319,MADHEPURA,General,High,8.8199115e-05,99.999916
10319,MADHEPURA,OBC,High,2.2913247e-05,99.99998
10319,MADHEPURA,SC,High,0.00012385096,99.99988
10319,MADHEPURA,ST,High,0.00011519534,99.99988
10319,MADHEPURA,Overall,High,9.581404e-05,99.99991
10320,MADHUBANI,General,High,6.380974e-05,99.99994
10320,MADHUBANI,SC,High,0.00018554524,99.99981
10320,MADHUBANI,ST,High,0.0008992721,99.99911
10320,MADHUBANI,Overall,High,3.6413225e-05,99.99996
10321,MUNGER,General,Low,0.13391325,99.86608
10321,MUNGER,OBC,Low,0.004455632,99.995544
10321,MUNGER,SC,Low,3.15986e-06,100.0
10321,MUNGER,ST,Low,4.349057e-05,99.999954
10321,MUNGER,Overall,Low,3.0196355e-07,100.0
10322,MUZAFFARPUR,General,High,0.046054028,99.95395
10322,MUZAFFARPUR,OBC,High,1.3042411e-05,99.999985
10322,MUZAFFARPUR,SC,High,0.00015880736,99.99985
10322,MUZAFFARPUR,ST,High,0.29696202,99.70304
10322,MUZAFFARPUR,Overall,High,0.0009953179,99.99901
10323,NALANDA,General,Low,1.27352305e-05,99.999985
10323,NALANDA,OBC,Low,1.04214195e-07,100.0
10323,NALANDA,ST,Low,0.00037300846,99.99963
10323,NALANDA,Overall,Low,1.7446253e-05,99.999985
10324,NAWADA,General,High,0.0008848195,99.999115
10324,NAWADA,OBC,High,6.930598e-05,99.99993
10324,NAWADA,ST,High,13.631223,86.368774
10324,NAWADA,Overall,High,0.012982257,99.987015
10325,PASHCHIMCHAMPARAN,General,High,0.00010478278,99.99989
10325,PASHCHIMCHAMPARAN,OBC,High,0.00023300115,99.99976
10325,PASHCHIMCHAMPARAN,Overall,High,2.5590107e-06,100.0
10326,PATNA,General,Low,4.3177315e-06,100.0
10326,PATNA,OBC,Low,2.8100472e-05,99.99998
10326,PATNA,ST,Low,3.3420518e-05,99.99996
10327,PURBACHAMPARAN,OBC,Low,0.0076624528,99.99233
10327,PURBACHAMPARAN,SC,Low,0.00016613325,99.99983
10327,PURBACHAMPARAN,ST,Low,0.021295758,99.97871
10328,PURNIA,General,High,0.00016543128,99.99983
10328,PURNIA,SC,High,5.292052e-06,100.0
10328,PURNIA,ST,High,8.716375e-05,99.999916
10328,PURNIA,Overall,High,2.1783595e-05,99.99998
10329,ROHTAS,General,High,0.00020192366,99.999794
10329,ROHTAS,OBC,High,0.00014578475,99.999855
10329,ROHTAS,SC,High,0.00053491734,99.999466
10329,ROHTAS,ST,High,2.2591462e-06,100.0
10329,ROHTAS,Overall,High,0.1302197,99.869774
10330,SAHARSA,General,High,0.00037098455,99.99963
10330,SAHARSA,OBC,High,5.322471e-06,100.0
10330,SAHARSA,SC,High,0.043279957,99.95672
10330,SAHARSA,ST,High,2.7113366,97.288666
10330,SAHARSA,Overall,High,0.00028632625,99.99971
10331,SAMASTIPUR,General,High,1.7511779e-07,100.0
10331,SAMASTIPUR,SC,High,0.0010206812,99.99898
10331,SAMASTIPUR,Overall,High,1.9434003e-05,99.99998
10332,SARAN,General,Low,6.205442e-05,99.99994
10332,SARAN,SC,Low,3.62603e-05,99.99996
10332,SARAN,ST,Low,1.1940918e-08,100.0
10332,SARAN,Overall,Low,3.2526618e-06,100.0
10333,SHEIKHPURA,General,Low,0.0103652375,99.98963
10333,SHEIKHPURA,OBC,Low,0.001531724,99.998474
10333,SHEIKHPURA,SC,Low,5.5142787e-05,99.99994
10333,SHEIKHPURA,ST,Low,2.2546262e-06,100.0
10334,SHEOHAR,General,High,6.5191256e-05,99.99994
10334,SHEOHAR,OBC,High,0.0001469164,99.999855
10334,SHEOHAR,SC,High,0.000963957,99.99903
10334,SHEOHAR,ST,High,0.00013699249,99.99987
10334,SHEOHAR,Overall,High,0.68715185,99.31285
10335,SITAMARHI,General,High,1.172611e-06,100.0
10335,SITAMARHI,OBC,High,0.0005764912,99.99943
10335,SITAMARHI,SC,High,0.0028598965,99.99714
10335,SITAMARHI,ST,High,0.00024359649,99.99976
10335,SITAMARHI,Overall,High,0.012580174,99.98743
10336,SIWAN,General,High,1.1620125e-07,100.0
10336,SIWAN,OBC,High,0.000619364,99.99938
10336,SIWAN,SC,High,0.0020012837,99.998
10336,SIWAN,ST,High,0.00070015545,99.9993
10336,SIWAN,Overall,High,2.03936e-05,99.99998
10337,SUPAUL,General,High,7.551154e-05,99.99993
10337,SUPAUL,OBC,High,0.005088736,99.99491
10337,SUPAUL,SC,High,1.7111644e-06,100.0
10337,SUPAUL,ST,High,24.052362,75.94764
10337,SUPAUL,Overall,High,2.9603238e-05,99.99998
10338,VAISHALI,General,High,0.00014391218,99.999855
10338,VAISHALI,OBC,High,3.8993917e-06,100.0
10338,VAISHALI,SC,High,0.0004147156,99.99958
10338,VAISHALI,ST,High,0.0008928535,99.99911
10338,VAISHALI,Overall,High,0.08437632,99.91563
10401,CHANDIGARH,General,High,9.0577625e-05,99.99991
10401,CHANDIGARH,OBC,High,0.00031905854,99.99968
10401,CHANDIGARH,SC,High,0.08136791,99.91863
10401,CHANDIGARH,ST,High,0.007930387,99.99207
10401,CHANDIGARH,Overall,High,5.5404507e-05,99.99994
10501,BALOD,General,High,0.0042450675,99.99576
10501,BALOD,SC,High,7.9000274e-05,99.999916
10501,BALOD,ST,High,1.31876785e-08,100.0
10501,BALOD,Overall,High,0.0005220619,99.99947
10502,BALODABAZAR,General,High,0.0062454594,99.99375
10502,BALODABAZAR,SC,High,7.145431e-05,99.99993
10502,BALODABAZAR,ST,High,0.0758746,99.924126
10502,BALODABAZAR,Overall,High,0.000119178796,99.99988
10503,BALRAMPUR,General,High,0.00015762984,99.99985
10503,BALRAMPUR,OBC,High,4.5303066e-05,99.999954
10503,BALRAMPUR,Overall,High,0.013022825,99.98697
10504,BASTER,General,High,5.0538933e-06,100.0
10504,BASTER,OBC,High,6.319885e-05,99.99994
10504,BASTER,SC,High,0.00038944968,99.9996
10504,BASTER,ST,High,0.0034367528,99.99657
10504,BASTER,Overall,High,2.0245127e-05,99.99998
10505,BEMETARA,General,High,3.6973663e-06,100.0
10505,BEMETARA,OBC,High,4.237952e-06,100.0
10505,BEMETARA,SC,High,0.10362293,99.89637
10505,BEMETARA,ST,High,16.956997,83.043
10505,BEMETARA,Overall,High,0.010168694,99.98983
10506,BIJAPUR,General,High,2.0083148e-06,100.0
10506,BIJAPUR,OBC,High,9.002475e-05,99.99991
10506,BIJAPUR,OBC,Low,0.00015608117,99.99985
10506,BIJAPUR,SC,High,1.5974747e-05,99.999985
10506,BIJAPUR,SC,Low,2.7757682e-05,99.99998
10506,BIJAPUR,ST,High,0.40990767,99.590096
10506,BIJAPUR,ST,Low,0.009722326,99.99027
10506,BIJAPUR,Overall,High,1.7317569e-05,99.999985
10507,BILASPUR,General,High,4.1587264e-06,100.0
10507,BILASPUR,OBC,High,2.609368e-06,100.0
10507,BILASPUR,OBC,High,5.1443214e-05,99.999954
10507,BILASPUR,SC,High,0.00066123105,99.999344
10507,BILASPUR,ST,High,12.295452,87.70455
10507,BILASPUR,ST,High,8.622955e-05,99.999916
10507,BILASPUR,Overall,High,2.0805588e-05,99.99998
10507,BILASPUR,Overall,High,6.3242805e-05,99.99994
10508,DANTEWADA,General,High,4.7894777e-05,99.999954
10508,DANTEWADA,ST,High,0.0010008147,99.999
10508,DANTEWADA,Overall,High,27.009245,72.99076
