State,DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income,prim_Boys_social_category,prim_Boys_income,prim_Overall_social_category,prim_Overall_income,upPrim_Girls_social_category,upPrim_Girls_income,upPrim_Boys_social_category,upPrim_Boys_income,upPrim_Overall_social_category,upPrim_Overall_income,snr_Girls_social_category,snr_Girls_income,snr_Boys_social_category,snr_Boys_income,snr_Overall_social_category,snr_Overall_income
ARUNACHALPRADESH,10101,ArunachalPradesh,ST,High,1,2.890067361,97.10992575,10.48804,89.51196074,6.442994624,93.55700016,73.28335345,26.71664357,77.26988643,22.73010612,80.24390489,19.7560966,71.49957716,28.50041986,86.15782112,13.84217739,80.8986783,19.1013217
ARUNACHALPRADESH,10101,ArunachalPradesh,OBC,High,0,87.30406612,12.69593239,82.74552375,17.25447774,84.28528309,15.71471691,0.05856895,99.94143248,22.90789336,77.09210515,1.082433853,98.91756177,0.126347446,99.87365603,94.86644566,5.13355732,3.823734447,96.17626071
ASSAM,10201,BAJALI,General,High,0,80.08108735,19.91890669,81.2612325,18.73877048,84.13024694,15.86975455,76.41726583,23.58273864,77.88336426,22.11663723,82.28021115,17.71979332,0.134805532,99.86519217,0.516771153,99.48322773,0.254489784,99.74550605
ASSAM,10201,BAJALI,OBC,High,1,0.133327162,99.86667633,0.170685386,99.82931018,0.174244621,99.82575774,0.041122784,99.95887876,0.019668444,99.98033643,0.082125043,99.91787076,0.044308288,99.95569587,0.004259886,99.99574423,0.002749738,99.99724627
ASSAM,10201,BAJALI,SC,High,0,86.23487353,13.76512051,81.2612325,18.73877048,84.13024694,15.86975455,3.801799938,96.19820118,77.88336426,22.11663723,82.28021115,17.71979332,0.641662907,99.35833812,0.159041863,99.84095693,0.152575504,99.84741807
ASSAM,10201,BAJALI,ST,High,1,0.222865702,99.77713823,0.497837551,99.50215816,0.283643161,99.71635938,76.41726583,23.58273864,77.88336426,22.11663723,82.28021115,17.71979332,0.009604773,99.99039173,0.003895819,99.99610186,0.000655986,99.99934435
ASSAM,10201,BAJALI,Overall,High,0,74.09934998,25.90065002,62.72090971,37.27909327,66.62663221,33.37336183,40.64939618,59.35060382,49.05401468,50.94598532,52.92873085,47.07126617,1.891067438,98.1089294,0.531899696,99.46809411,0.303378841,99.69661832
ASSAM,10202,BAKSA,General,Low,1,17.68056601,82.3194325,9.437728673,90.56226611,12.58204728,87.41796017,0.07479738,99.92520213,0.024853868,99.97515082,0.067588146,99.93240833,0.020436052,99.97956157,0.001618537,99.99837875,0.000461992,99.99953508
ASSAM,10202,BAKSA,OBC,Low,1,0.05080885,99.949193,0.006943273,99.99306202,0.097882655,99.90211725,1.53E-05,99.99998808,0.01311957,99.98687506,0.024615118,99.97538924,0.113545486,99.88645315,0.037408064,99.96259212,0.017500647,99.98250604
ASSAM,10202,BAKSA,SC,Low,1,36.06366813,63.93633485,0.358001352,99.64200258,8.426400274,91.57360196,0.003378926,99.99662638,0.011945566,99.98805523,0.026365553,99.97363687,0.03537499,99.96461868,0.02281105,99.9771893,0.030391975,99.96961355
ASSAM,10202,BAKSA,ST,Low,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,0.007054557,99.99294281,0.028769986,99.97122884,0.034794284,99.96520281,0.002093816,99.99790192,0.000965003,99.9990344,1.72E-05,99.99998808
ASSAM,10202,BAKSA,Overall,Low,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,0.135731359,99.86427426,0.081213837,99.91878867,0.17119901,99.82879758,2.06682235,97.93317318,0.263465336,99.73654151,0.267518056,99.73248243
ASSAM,10203,BARPETA,General,High,1,6.89E-06,99.99998808,81.2612325,18.73877048,1.41E-06,100,76.41726583,23.58273864,1.64E-10,100,1.23E-11,100,69.50929165,30.49070835,84.96988416,15.03010988,79.86942977,20.13056874
ASSAM,10203,BARPETA,OBC,High,1,0.624315254,99.37568903,1.14727281,98.8527298,0.668305578,99.33168888,2.881160751,97.1188426,1.804373227,98.19563031,3.374683112,96.62531614,0.240910565,99.75908995,0.541543076,99.458462,0.339566497,99.66043234
ASSAM,10203,BARPETA,SC,High,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,74.06021953,25.93978047,77.45562643,22.54437804,80.99277169,19.00722384,1.043015812,98.95697832,27.41304338,72.58695364,3.237589449,96.76240683
ASSAM,10203,BARPETA,ST,High,1,0.17846853,99.82153177,0.026363769,99.97363687,0.15194671,99.84804988,9.950060397,90.04993439,3.488303721,96.51169181,9.272680432,90.72731733,15.02147913,84.97852087,35.90371013,64.09628987,30.68026602,69.319731
